name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Oakwood unit B,90004,10.0,8.3,7.0,5.0,8.0,9.0,10.0,8.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.7 miles from center)
Serene Guesthouse,90004,6.0,8.0,10.0,2.0,3.0,1.0,6.0,5.0,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(4.3 miles from center)
City-View Penthouse,90005,18.0,9.0,4.0,2.0,1.0,2.0,9.0,10.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(2.8 miles from center)
Hotel Normandie - Los Angeles,90005,478.0,8.3,8.7,8.3,8.0,8.9,7.7,8.3,8.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,(3.1 miles from center)
The KODO,90005,67.0,2.0,1.0,3.0,9.0,7.0,10.0,3.0,8.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.5 miles from center)
LA Sky-High Luxury View Suite,90005,51.0,5.0,5.0,3.0,7.0,10.0,5.0,1.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(2.8 miles from center)
Hotel Aventura,90006,,8.5,9.1,8.7,8.5,8.6,8.2,8.5,7.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,(3.1 miles from center)
Ramada by Wyndham Los Angeles/Downtown West,90006,,6.9,7.3,7.1,6.8,7.3,6.5,7.4,6.7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(2 miles from center)
Modern 3 bedrooms 2 bathrooms Mid City,90006,5.0,7.9,8.5,8.5,8.5,8.0,7.0,7.0,1.0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
Los Angeles RoomRentals Harvard Heights,90006,16.0,8.7,9.1,8.9,9.1,8.0,9.1,8.1,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
Modern 3 Bedroom 2 Bathroom,90006,75.0,1.0,4.0,10.0,2.0,7.0,1.0,10.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(3.1 miles from center)
